拆分：{⺁} [px]	⺁
拆分：女婁 [nl]	㜢
拆分：女然 [nr]	㜣
拆分：女覃 [nt]	㜤
拆分：女買 [nm]	㜥
拆分：女尋 [nx]	㜦
拆分：女厥 [nj]	㜧
拆分：女犀 [nx]	㜨
拆分：女奥 [na]	㜩
拆分：女新 [nx]	㜪
拆分：女微 [nw]	㜫
拆分：女詹 [nv]	㜬
拆分：女當 [nd]	㜭
拆分：女監 [nj]	㜮
拆分：女熙 [nx]	㜯
拆分：女樂 [nl]	㜰
拆分：女質 [nv]	㜱
拆分：女嬴 [ny]	㜲
拆分：女八 [nb]	㜳
拆分：女瞢 [nm]	㜴
拆分：女馬 [nm]	㜵
拆分：女兔 [nt]	㜶
拆分：女彌 [nm]	㜷
拆分：女薛 [nx]	㜸
拆分：女瞿 [nq]	㜹
拆分：女贊 [nz]	㜺
拆分：女戀 [nl]	㜻
拆分：女疊 [nd]	㜼
拆分：子介 [zj]	㜾
拆分：子予 [zy]	㜿
拆分：子母 [zm]	㝀
拆分：子旬 [zx]	㝁
拆分：子折 [zv]	㝂
拆分：子免 [zm]	㝃
拆分：享屯 [xt]	㝄
拆分：殳子 [uz] | 子殳 [zu]	㝅
拆分：子喜 [zx]	㝆
拆分：享享 [xx]	㝇
拆分：子糸 [zs] | 言子 [yz]	㝈
拆分：宀一 [ba]	㝉
拆分：宀又 [by]	㝊
拆分：宀了 [bl]	㝋
拆分：宀久 [bj]	㝌
拆分：宀与 [by]	㝍
拆分：宀之 [bv]	㝎
拆分：宀介 [bj]	㝏
拆分：宀公 [bg]	㝐
拆分：宀方 [bf]	㝑
拆分：宀古 [bg]	㝒
拆分：宀合 [bh]	㝓
拆分：宀交 [bj]	㝔
拆分：宀又 [by]	㝕
拆分：宀多 [bd]	㝖
拆分：宀良 [bl]	㝗
拆分：宀言 [by]	㝘
拆分：宀八 [bb]	㝙
拆分：宀延 [by]	㝚
拆分：宀口 [bk]	㝛
拆分：宀昔 [bx]	㝜
拆分：宀林 [bl]	㝝
拆分：宀亞 [by]	㝞
拆分：宀見 [bj]	㝟
拆分：宀六 [bl]	㝠
拆分：宀取 [bq]	㝡
拆分：宀禹 [by]	㝢
拆分：宀契 [bq]	㝣
拆分：宀冓 [bg]	㝤
拆分：宀米 [bm]	㝥
拆分：宀隽 [bj]	㝦
拆分：安坐 [az]	㝧
拆分：宀袁 [by]	㝨
拆分：宀康 [bk]	㝩
拆分：宀執 [bv]	㝪
拆分：宀隆 [bl]	㝫
拆分：夫害 [fh] | 害夫 [hf]	㝬
拆分：宀惺 [bx]	㝭
拆分：宀又 [by]	㝮
拆分：宀喬 [bq]	㝯
拆分：宀方 [bf]	㝰
拆分：宀夢 [bm]	㝱
拆分：宀帚 [bv] | 宀巾 [bj]	㝲
拆分：寸元 [cy]	㝴
拆分：寸旦 [cd]	㝵
拆分：寸儿 [ce] | 罒寸 [sc]	㝶
拆分：𫜹寸 [xc]	㝷
拆分：小儿 [xe] | 小皃 [xm]	㝸
拆分：少免 [um] | 少兔 [ut]	㝹
拆分：兼少 [ju]	㝺
拆分：堇少 [ju]	㝻
拆分：尢于 [yy]	㝼
拆分：尢水 [yu]	㝽
拆分：尢左 [yz]	㝾
拆分：尢皮 [yp]	㝿
拆分：尢灰 [yh]	㞀
拆分：尢匕 [yb]	㞁
拆分：尢妥 [yt]	㞂
拆分：谷尤 [gy]	㞃
拆分：尢电 [yd] | 尢奄 [yy]	㞄
拆分：尢果 [yg]	㞅
拆分：尢奇 [yq]	㞆
拆分：尢畏 [yw]	㞇
拆分：尢扁 [yb]	㞈
拆分：尢差 [yi]	㞉
拆分：尢祟 [ys] | 尢示 [yu]	㞊
拆分：尸又 [uy]	㞋
拆分：尸子 [uz]	㞌
拆分：尸丸 [uw]	㞍
拆分：尸巴 [ub]	㞎
拆分：尸乏 [uf]	㞏
拆分：尸立 [ul]	㞐
拆分：尸丶 [ud]	㞑
拆分：尸自 [uz]	㞒
拆分：尸旨 [uv]	㞓
拆分：尸多 [ud]	㞔
拆分：尸月 [uo]	㞕
拆分：尸贝 [ub]	㞖
拆分：尸求 [uq]	㞗
拆分：尸丶 [ud]	㞘
拆分：尾水 [wu]	㞙
拆分：尸臼 [uj]	㞚
拆分：尸旨 [uv]	㞛
拆分：尸委 [uw]	㞜
拆分：尸戚 [uq]	㞝
拆分：尸從 [uc]	㞞
拆分：尸奠 [ud]	㞟
拆分：尸尞 [ul]	㞠
拆分：尸𧘇 [uy]	㞡
拆分：屮一 [ca]	㞢
拆分：屮分 [cf]	㞣
拆分：山人 [ur]	㞤
拆分：山入 [ur]	㞥
拆分：山几 [uj]	㞦
拆分：山乃 [un]	㞧
拆分：山子 [uz]	㞨
拆分：山凡 [uf]	㞩
拆分：彐山 [xu] | 山彐 [ux]	㞪
拆分：山之 [uv]	㞫
拆分：山工 [ug]	㞬
拆分：山大 [ud]	㞭
拆分：山丶 [ud]	㞮
拆分：山己 [uj]	㞯
拆分：山午 [uw]	㞰
拆分：山日 [uo]	㞱
拆分：山中 [uv]	㞲
拆分：山斗 [ud]	㞳
拆分：山氏 [uu]	㞴
拆分：山文 [uw]	㞵
拆分：山文 [uw]	㞶
拆分：山王 [uw] | 屮王 [cw]	㞷
拆分：山不 [ub]	㞸
拆分：山可 [uk]	㞹
拆分：山矢 [uu]	㞺
拆分：山号 [uh]	㞻
拆分：山丶 [ud] | 了山 [lu]	㞼
拆分：山戉 [uy]	㞽
拆分：山尼 [un]	㞾
拆分：山乂 [ui]	㞿
拆分：山禾 [uh]	㟀
拆分：山干 [ug]	㟁
拆分：山母 [um]	㟂
拆分：山司 [us]	㟃
拆分：山羊 [uy]	㟄
拆分：山兇 [ux]	㟅
拆分：山华 [uh]	㟆
拆分：山坐 [uz]	㟇
拆分：山求 [uq]	㟈
拆分：山牢 [ul]	㟉
拆分：山孚 [uf]	㟊
拆分：山兑 [ud]	㟋
拆分：山尨 [um]	㟌
拆分：山良 [ul]	㟍
拆分：山妥 [ut]	㟎
拆分：山含 [uh]	㟏
拆分：山芒 [um]	㟐
拆分：山孛 [ub]	㟑
拆分：山君 [uj]	㟒
拆分：山希 [ux]	㟓
拆分：山含 [uh]	㟔
拆分：山斗 [ud]	㟕
拆分：山弄 [un]	㟖
拆分：凵分 [kf]	㟗
拆分：山周 [uv]	㟘
拆分：山昔 [ux]	㟙
拆分：山枝 [uv]	㟚
拆分：山甘 [ug]	㟛
拆分：山弥 [um]	㟜
拆分：山口 [uk]	㟝
拆分：山戔 [uj]	㟞
拆分：山巷 [ux]	㟟
拆分：山岡 [ug]	㟠
拆分：山卷 [uj]	㟡
拆分：山奇 [uq]	㟢
拆分：山松 [us]	㟣
拆分：山录 [ul]	㟤
拆分：山参 [uc]	㟥
拆分：山軍 [uj]	㟦
拆分：山亏 [uk]	㟧
拆分：山耑 [ud]	㟨
拆分：山攵 [uw] | 民山 [mu]	㟩
拆分：山畏 [uw]	㟪
拆分：山泉 [uq]	㟫
拆分：山叟 [us]	㟬
拆分：山日 [uo]	㟭
拆分：山突 [ut]	㟮
拆分：山客 [uk]	㟯
拆分：山冥 [um]	㟰
拆分：山羔 [ug]	㟱
拆分：山原 [uy]	㟲
拆分：山栗 [ul]	㟳
拆分：山鬼 [ug]	㟴
拆分：山罡 [ug]	㟵
拆分：山原 [uy]	㟶
拆分：山合 [uh]	㟷
拆分：山皋 [ug]	㟸
拆分：山聊 [ul]	㟹
拆分：山婁 [ul]	㟺
拆分：山斬 [uv]	㟻
拆分：山敖 [ua]	㟼
拆分：山票 [up]	㟽
拆分：山庸 [uy]	㟾
拆分：山莽 [um]	㟿
拆分：山鳥 [un]	㠀
拆分：山參 [uc]	㠁
拆分：山敖 [ua]	㠂
拆分：山古 [ug]	㠃
拆分：山習 [ux]	㠄
拆分：山復 [uf]	㠅
拆分：山單 [ud]	㠆
拆分：山就 [uj]	㠇
拆分：山閏 [ur]	㠈
拆分：山童 [ut]	㠉
拆分：山虚 [ux]	㠊
拆分：山亏 [uk]	㠋
拆分：山欺 [uq]	㠌
拆分：山集 [uj]	㠍
拆分：山集 [uj]	㠎
拆分：山華 [uh]	㠏
拆分：山喬 [uq]	㠐
拆分：山罪 [uz]	㠑
拆分：山剽 [up]	㠒
拆分：山蒙 [um]	㠓
拆分：山辟 [ub]	㠔
拆分：山隗 [uk]	㠕
拆分：山義 [uy]	㠖
拆分：山奥 [ua]	㠗
拆分：山與 [uy]	㠘
拆分：山豪 [uh]	㠙
拆分：山對 [ud]	㠚
拆分：山蒦 [uh]	㠛
拆分：山疑 [uy]	㠜
拆分：山貝 [ub]	㠝
拆分：山徵 [uv]	㠞
拆分：山黎 [ul]	㠟
拆分：山盧 [ul]	㠠
拆分：山馬 [um]	㠡
拆分：嵬衣 [wy]	㠢
拆分：山歷 [ul]	㠣
拆分：山襄 [ux]	㠤
拆分：山壘 [ul]	㠥
拆分：山豐 [uf]	㠦
拆分：山靡 [um] | 山非 [uf]	㠧
拆分：山寸 [uc]	㠨
拆分：川𠃊 [ia]	㠩
拆分：一一 [aa]	㠪
拆分：夫巩 [fg]	㠫
拆分：夫口 [fk]	㠬
拆分：工工 [gg]	㠭
拆分：工普 [gp]	㠮
拆分：乛丨 [aa]	㠯
拆分：己其 [jq]	㠱
拆分：巾匕 [jb]	㠲
拆分：巾入 [jr]	㠳
拆分：巾刃 [jr]	㠴
拆分：巾亡 [jw]	㠵
拆分：巾几 [jj]	㠶
拆分：巾及 [jj]	㠷
拆分：巾夫 [jf]	㠸
拆分：巾介 [jj]	㠹
拆分：巾少 [ju]	㠺
拆分：巾耂 [jl]	㠻
拆分：巾斤 [jj]	㠼
拆分：巾冬 [jd]	㠽
拆分：夕巾 [xj]	㠾
拆分：巾此 [jc]	㠿
拆分：丶丶 [dd] | 小八 [xb]	㡀
拆分：巾夸 [jk]	㡁
拆分：巾列 [jl]	㡂
拆分：巾儿 [je]	㡃
拆分：巾旬 [jx]	㡄
拆分：巾多 [jd]	㡅
拆分：巾川 [ji]	㡆
拆分：巾耴 [jv] | 巾乚 [jg]	㡇
拆分：巾免 [jm]	㡈
拆分：巾弦 [jx]	㡉
拆分：巾臽 [jx] | 巾臼 [jj]	㡊
拆分：巾奄 [jy]	㡋
拆分：巾月 [jo]	㡌
拆分：白巾 [bj]	㡍
拆分：巾参 [jc]	㡎
拆分：巾俞 [jy]	㡏
拆分：巾前 [jq]	㡐
拆分：巾秋 [jq]	㡑
拆分：巾盾 [jd]	㡒
拆分：巾軍 [jj]	㡓
拆分：巾攵 [jw]	㡔
拆分：巾英 [jy]	㡕
拆分：巾重 [jv]	㡖
拆分：巾虒 [js]	㡗
拆分：巾兼 [jj]	㡘
拆分：巾比 [jb]	㡙
拆分：巾冉 [jr]	㡚
拆分：巾荒 [jh]	㡛
拆分：巾祭 [jj]	㡜
拆分：巾逢 [jf]	㡝
拆分：巾婁 [jl]	㡞
拆分：巾曹 [jc]	㡟
拆分：巾登 [jd]	㡠
拆分：巾厨 [ji]	㡡
拆分：巾方 [jf]	㡢
拆分：帝三 [ds]	㡣
拆分：巾業 [jy]	㡤
拆分：巾心 [jx]	㡥
拆分：巾賓 [jb]	㡦
拆分：巾登 [jd]	㡧
拆分：巾戈 [jg]	㡨
拆分：巾糸 [js] | 糸巾 [sj]	㡩
拆分：巾夂 [jw]	㡪
拆分：幺曷 [yh]	㡫
拆分：幺戈 [yg]	㡬
拆分：幺𠃊 [ya]	㡭
拆分：幾气 [jq]	㡮
拆分：广七 [gq]	㡯
拆分：广于 [gy]	㡰
拆分：广久 [gj]	㡱
拆分：广戈 [gg]	㡲
拆分：广氏 [gu]	㡳
拆分：广立 [gl]	㡴
拆分：广令 [gl]	㡵
拆分：广只 [gv]	㡶
拆分：广本 [gb]	㡷
拆分：广乍 [gv]	㡸
拆分：广且 [gq]	㡹
拆分：广旦 [gd]	㡺
拆分：广卯 [gm]	㡻
拆分：广曳 [gy]	㡼
拆分：广聿 [gy]	㡽
拆分：广艮 [gg]	㡾
拆分：广屰 [gn]	㡿
拆分：广贝 [gb]	㢀
拆分：广多 [gd]	㢁
拆分：广良 [gl]	㢃
拆分：广豆 [gd]	㢄
拆分：广弄 [gn]	㢅
拆分：广里 [gl]	㢆
拆分：广言 [gy]	㢇
拆分：广隹 [gv]	㢈
拆分：广七 [gq]	㢉
拆分：广奇 [gq]	㢊
拆分：广侈 [gi]	㢋
拆分：广阿 [ga]	㢌
拆分：广英 [gy]	㢍
拆分：广臼 [gj]	㢎
拆分：广俞 [gy]	㢏
拆分：广口 [gk]	㢐
拆分：广隼 [gs]	㢑
拆分：广且 [gq]	㢒
拆分：广章 [gv]	㢓
拆分：广從 [gc]	㢔
拆分：广隹 [gv]	㢕
拆分：广番 [gf]	㢖
拆分：广喬 [gq]	㢗
拆分：广灬 [gh]	㢘
拆分：广勤 [gq]	㢙
拆分：广虜 [gl]	㢚
拆分：广僉 [gq]	㢛
拆分：广思 [gs] | 广心 [gx]	㢜
拆分：广穌 [gs]	㢝
拆分：广翼 [gy]	㢞
拆分：廴止 [zv]	㢟
拆分：廴口 [zk]	㢠
拆分：廾將 [cj]	㢡
拆分：廾敞 [ci]	㢢
拆分：廾敬 [cj]	㢣
拆分：戈万 [gw]	㢤
拆分：同弋 [ty]	㢥
拆分：哥弋 [gy]	㢦
拆分：弓一 [ga]	㢧
拆分：弓干 [gg]	㢨
拆分：弓勺 [gu]	㢩
拆分：弓亏 [gk]	㢪
拆分：弓山 [gu]	㢫
拆分：弓厶 [gs]	㢬
拆分：弓攴 [gp]	㢭
拆分：弓也 [gy]	㢮
拆分：弓民 [gm]	㢯
拆分：弓皮 [gp]	㢰
拆分：弓八 [gb]	㢲
拆分：弓丿 [gp]	㢳
拆分：弓丶 [gd]	㢴
拆分：弓合 [gh]	㢵
拆分：弓百 [gb]	㢶
拆分：弓岁 [gs]	㢷
拆分：弓攵 [gw]	㢸
拆分：弓辛 [gx]	㢹
拆分：弓妾 [gq]	㢺
拆分：弓委 [gw]	㢻
拆分：弓儿 [ge]	㢼
拆分：弓弭 [gm]	㢽
拆分：弓土 [gt]	㢾
拆分：弓侯 [gh]	㢿
拆分：弓真 [gv]	㣀
拆分：弓用 [gy]	㣁
拆分：弓鬲 [gg]	㣂
拆分：弓育 [gy]	㣃
拆分：弓渠 [gq]	㣄
拆分：弓日 [go]	㣅
拆分：弓王 [gw]	㣆
拆分：巾丿 [jp] | 彑巾 [jj]	㣇
拆分：彑巾 [jj]	㣈
拆分：彡工 [pg]	㣉
拆分：攵彡 [wp]	㣊
拆分：彡丶 [pd]	㣋
拆分：彡占 [pv]	㣌
拆分：彡台 [pt]	㣍
拆分：白彡 [bp]	㣎
拆分：彡早 [pz] | 大彡 [dp]	㣏
拆分：彡泉 [pq]	㣐
拆分：彡庸 [py]	㣑
拆分：彡曾 [pc]	㣒
拆分：彡粲 [pc]	㣓
拆分：彳丁 [xd]	㣔
拆分：彳大 [xd]	㣕
拆分：彳太 [xt]	㣖
拆分：彳户 [xh]	㣗
拆分：彳句 [xj]	㣘
拆分：彳由 [xy]	㣙
拆分：彳同 [xt]	㣚
拆分：彳合 [xh]	㣛
拆分：彳刑 [xx]	㣜
拆分：彳戎 [xr]	㣝
拆分：彳儿 [xe]	㣞
拆分：彳吉 [xj]	㣟
拆分：彳冬 [xd]	㣠
拆分：彳仲 [xv]	㣡
拆分：彳弟 [xd]	㣢
拆分：彳入 [xr]	㣣
拆分：彳戔 [xj]	㣤
拆分：彳侍 [xu]	㣥
拆分：彳委 [xw]	㣦
拆分：彳乚 [xg]	㣧
拆分：彳姑 [xg]	㣨
拆分：彳林 [xl]	㣩
拆分：彳爰 [xy]	㣪
拆分：彳重 [xv]	㣫
拆分：彳耳 [xe]	㣬
拆分：彳夂 [xw]	㣭
拆分：彳南 [xn]	㣮
拆分：彳屑 [xx]	㣯
拆分：彳悉 [xx]	㣰
拆分：彳責 [xz]	㣱
拆分：彳攵 [xw]	㣲
拆分：彳無 [xw]	㣳
拆分：彳黄 [xh]	㣴
拆分：彳達 [xd]	㣵
拆分：彳亶 [xd]	㣶
拆分：彳寧 [xn]	㣷
拆分：彳生 [xu]	㣸
拆分：彳應 [xy]	㣹
拆分：忄丶 [xd]	㣺
拆分：心㐅 [xi]	㣻
拆分：心刃 [xr]	㣼
拆分：心女 [xn]	㣽
拆分：心叉 [xi]	㣾
拆分：心勺 [xu]	㣿
拆分：心𠃊 [xa]	㤀
拆分：心天 [xt]	㤁
拆分：心及 [xj]	㤂
拆分：忄方 [xf]	㤃
拆分：忄巿 [xf] | 忄巾 [xj]	㤄
拆分：心{无} [xw]	㤅
拆分：心反 [xf]	㤆
拆分：心夭 [xy]	㤇
拆分：忄心 [xx]	㤈
拆分：忄牙 [xy]	㤉
拆分：忄㐅 [xi] | 忄爻 [xy]	㤊
拆分：忄分 [xf]	㤋
拆分：心甘 [xg]	㤌
拆分：心巧 [xq]	㤍
拆分：心加 [xj]	㤎
拆分：心冬 [xd]	㤏
拆分：心占 [xv]	㤐
拆分：心右 [xy]	㤑
拆分：忄十 [xu]	㤒
拆分：忄本 [xb]	㤓
拆分：忄付 [xf]	㤔
拆分：心出 [xi]	㤕
拆分：忄宁 [xn]	㤖
拆分：⺗夫 [xf]	㤗
拆分：心刍 [xi]	㤘
拆分：心囗 [xk]	㤙
拆分：忄行 [xx]	㤚
拆分：心任 [xr]	㤛
拆分：心戍 [xu]	㤜
拆分：忄充 [xi]	㤝
拆分：忄宅 [xv]	㤞
拆分：心曲 [xq]	㤟
拆分：心列 [xl]	㤠
拆分：心列 [xl]	㤡
拆分：心有 [xy]	㤢
拆分：心并 [xb]	㤣
拆分：忄臾 [xy]	㤤
拆分：忄亥 [xh]	㤥
拆分：忄吏 [xl]	㤦
拆分：心后 [xh]	㤧
拆分：忄共 [xg]	㤨
拆分：心各 [xg]	㤩
拆分：一怨 [ay]	㤪
拆分：心有 [xy]	㤫
拆分：心圭 [xg]	㤬
拆分：忄乔 [xq]	㤭
拆分：心狂 [xk]	㤮
拆分：忄冏 [xj]	㤯
拆分：心作 [xz]	㤰
拆分：心豆 [xd]	㤱
拆分：心夾 [xj]	㤲
拆分：忄否 [xf]	㤳
拆分：忄乚 [xg]	㤴
拆分：心孜 [xz]	㤵
拆分：忄尨 [xm]	㤶
拆分：心含 [xh]	㤷
拆分：心赤 [xi]	㤸
拆分：忄求 [xq]	㤹
拆分：忄𫶧 [xi]	㤺
拆分：心卵 [xl]	㤻
拆分：忄劫 [xj]	㤼
拆分：心寿 [xu]	㤽
拆分：忄木 [xm]	㤾
拆分：心奄 [xy]	㤿
拆分：忄直 [xv]	㥀
拆分：心罒 [xs] | 十心 [ux]	㥁
拆分：忄寸 [xc]	㥂
拆分：忄門 [xm]	㥃
拆分：忄夌 [xl]	㥄
拆分：心受 [xu]	㥅
拆分：忄隶 [xl]	㥆
拆分：心戔 [xj]	㥇
拆分：心帖 [xt]	㥈
拆分：忄口 [xk]	㥉
拆分：忄朋 [xp]	㥊
拆分：心依 [xy]	㥋
拆分：忄米 [xm]	㥌
拆分：忄其 [xq]	㥍
拆分：心丿 [xp] | 禾心 [hx]	㥎
拆分：心典 [xd]	㥏
拆分：心命 [xm]	㥐
拆分：心冖 [xb]	㥑
拆分：忄采 [xc]	㥒
拆分：忄奇 [xq]	㥓
拆分：心育 [xy]	㥔
拆分：心炎 [xy]	㥕
拆分：心公 [xg] | 丹心 [dx]	㥖
拆分：心文 [xw]	㥗
拆分：心刃 [xr]	㥘
拆分：忄忠 [xv]	㥙
拆分：忄臾 [xy]	㥚
拆分：心亟 [xj]	㥛
拆分：忄胃 [xw]	㥜
拆分：心弭 [xm]	㥝
拆分：忄豕 [xu]	㥞
拆分：忄彖 [xt]	㥟
拆分：忄胥 [xx]	㥠
拆分：忄木 [xm]	㥡
拆分：心酋 [xq]	㥢
拆分：心圭 [xg] | 大恚 [dh]	㥣
拆分：心矜 [xj]	㥤
拆分：忄禺 [xy]	㥥
拆分：心夾 [xj] | 匚心 [kx]	㥦
拆分：心頁 [xy]	㥧
拆分：心娃 [xw]	㥨
拆分：心者 [xv]	㥩
拆分：心娄 [xl]	㥪
拆分：忄日 [xo]	㥫
拆分：忄旁 [xp]	㥬
拆分：忄泰 [xt]	㥭
拆分：忄芻 [xi]	㥮
拆分：爫心 [vx] | 心𫜹 [xx]	㥯
拆分：心叟 [xs]	㥰
拆分：心匪 [xf]	㥱
拆分：心真 [xv]	㥲
拆分：忄原 [xy]	㥳
拆分：心虒 [xs]	㥴
拆分：忄圂 [xh] | 忄豕 [xu]	㥵
拆分：心八 [xb] | 宀心 [bx]	㥶
拆分：心夾 [xj] | 广心 [gx]	㥷
拆分：民思 [ms]	㥸
拆分：心粉 [xf]	㥹
拆分：忄盍 [xh]	㥺
拆分：心戈 [xg]	㥻
拆分：忄焉 [xy]	㥼
拆分：心責 [xz]	㥽
拆分：忄匿 [xn]	㥾
拆分：心敖 [xa]	㥿
拆分：心逢 [xf]	㦀
拆分：心連 [xl]	㦁
拆分：心常 [xi]	㦂
拆分：忄産 [xi]	㦃
拆分：心麻 [xm]	㦄
拆分：心帶 [xd]	㦅
拆分：忄乎 [xh]	㦆
拆分：忄鹿 [xl]	㦇
拆分：忄盖 [xg]	㦈
拆分：心壹 [xy]	㦉
拆分：忄華 [xh]	㦊
拆分：心奢 [xu]	㦋
拆分：心毳 [xc]	㦌
拆分：忄屰 [xn]	㦍
拆分：忄畫 [xh]	㦎
拆分：忄巽 [xx] | 忄共 [xg]	㦏
拆分：忄貳 [xe]	㦐
拆分：心敢 [xg]	㦑
拆分：心詈 [xl]	㦒
拆分：忄然 [xr]	㦓
拆分：心犬 [xq] | 冂心 [kx]	㦔
拆分：心隆 [xl]	㦕
拆分：心悶 [xm]	㦖
拆分：心禁 [xj]	㦗
拆分：心敫 [xj]	㦘
拆分：心辛 [xx]	㦚
拆分：心與 [xy]	㦛
拆分：忄蒦 [xh]	㦜
拆分：心貌 [xm]	㦝
拆分：心壽 [xu]	㦞
拆分：心里 [xl]	㦟
拆分：心對 [xd]	㦠
拆分：心樂 [xl]	㦡
拆分：心節 [xj]	㦢
拆分：心衛 [xw]	㦣
拆分：壹心 [yx] | 心欠 [xq]	㦤
拆分：心憲 [xx]	㦥
拆分：忄兒 [xe]	㦦
拆分：忄日 [xo]	㦧
拆分：心闌 [xl]	㦨
拆分：忄隱 [xy]	㦩
拆分：心燮 [xx]	㦪
拆分：心贊 [xz]	㦫
拆分：忄羅 [xl]	㦬
拆分：心靈 [xl]	㦭
拆分：戈一 [ga]	㦯
拆分：戈从 [gc]	㦰
拆分：戈土 [gt]	㦱
拆分：戈万 [gw]	㦲
拆分：土戈 [tg] | 戈土 [gt]	㦳
拆分：戈各 [gg]	㦴
拆分：戈朱 [gv]	㦵
拆分：戈至 [gv]	㦶
拆分：戈甬 [gy]	㦷
拆分：戈卓 [gv]	㦸
拆分：戈昜 [gy] | 昜戈 [yg]	㦹
拆分：戈辱 [gr] | 辱戈 [rg]	㦺
拆分：戈習 [gx]	㦻
拆分：戈舂 [gi]	㦼
拆分：户也 [hy]	㦾
拆分：户木 [hm]	㦿
拆分：户及 [hj]	㧀
拆分：户去 [hq]	㧁
拆分：户田 [ht]	㧂
拆分：扌丩 [fj]	㧃
拆分：扌凵 [fk]	㧄
拆分：扌刀 [fd]	㧅
拆分：扌巾 [fj]	㧆
拆分：扌一 [fa]	㧇
拆分：扌弓 [fg]	㧈
拆分：扌气 [fq]	㧉
拆分：扌巿 [ff] | 扌巾 [fj]	㧊
拆分：扌犬 [fq]	㧋
拆分：扌毛 [fm]	㧌
拆分：扌方 [ff]	㧍
拆分：扌牙 [fy]	㧎
拆分：扌冈 [fg]	㧏
拆分：扌双 [fu]	㧐
拆分：扌为 [fw]	㧑
拆分：扌穴 [fx]	㧒
拆分：扌瓜 [fg]	㧓
拆分：扌戊 [fw]	㧔
拆分：扌卯 [fm]	㧕
拆分：扌乙 [fy]	㧖
拆分：扌此 [fc]	㧗
拆分：手此 [uc]	㧘
拆分：扌必 [fb]	㧙
拆分：扌瓦 [fw]	㧚
拆分：手{半竹} [uv]	㧛
拆分：扌匝 [fz]	㧜
拆分：手加 [uj]	㧝
拆分：扌友 [fy]	㧞
拆分：扌汇 [fh]	㧟
拆分：扌小 [fx]	㧠
拆分：扌亥 [fh]	㧡
拆分：扌因 [fy]	㧢
拆分：扌朱 [fv]	㧣
拆分：扌充 [fi]	㧤
拆分：扌先 [fx]	㧥
拆分：扌旬 [fx]	㧦
拆分：扌川 [fi]	㧧
拆分：扌后 [fh]	㧨
拆分：扌巾 [fj]	㧩
拆分：扌危 [fw]	㧪
拆分：扌而 [fe]	㧫
拆分：手巩 [ug]	㧬
拆分：手邛 [uq]	㧭
拆分：扌臼 [fj]	㧮
拆分：扌老 [fl]	㧯
拆分：扌乐 [fl]	㧰
拆分：手合 [uh]	㧱
拆分：扌宋 [fs]	㧲
拆分：手扮 [ub]	㧳
拆分：扌我 [fw]	㧴
拆分：扌否 [ff]	㧵
拆分：扌身 [fu]	㧶
拆分：扌吞 [ft]	㧷
拆分：扌亨 [fh]	㧸
拆分：扌寸 [fc]	㧹
拆分：扌沓 [fd]	㧺
拆分：扌丶 [fd]	㧻
拆分：扌表 [fb]	㧼
拆分：扌固 [fg]	㧽
拆分：扌忽 [fh]	㧾
拆分：扌龰 [fv]	㧿
拆分：扌秉 [fb]	㨀
拆分：扌直 [fv]	㨁
拆分：扌東 [fd]	㨂
拆分：扌享 [fx]	㨃
拆分：扌周 [fv]	㨄
拆分：扌芮 [fr]	㨅
拆分：扌林 [fl]	㨆
拆分：手波 [ub]	㨇
拆分：扌二 [fe]	㨈
拆分：扌日 [fo]	㨉
拆分：扌月 [fo]	㨊
拆分：扌者 [fv]	㨋
拆分：殳手 [uu]	㨌
拆分：手封 [uf]	㨍
拆分：扌大 [fd]	㨎
拆分：扌炭 [ft]	㨏
拆分：扌保 [fb]	㨐
拆分：扌夂 [fw]	㨑
拆分：扌奎 [fk]	㨒
拆分：扌牛 [fn]	㨓
拆分：扌咸 [fx]	㨔
拆分：扌盈 [fy]	㨕
拆分：扌致 [fv]	㨖
拆分：扌卜 [fb]	㨗
拆分：扌省 [fu]	㨘
拆分：扌奚 [fx]	㨙
拆分：扌荀 [fx]	㨚
拆分：扌閃 [fu]	㨛
拆分：扌虔 [fq]	㨜
拆分：扌屑 [fx]	㨝
拆分：扌素 [fs]	㨞
拆分：扌豈 [fq]	㨟
拆分：扌冥 [fm]	㨠
拆分：扌豕 [fu]	㨡
拆分：扌能 [fn]	㨢
拆分：扌翁 [fw]	㨣
拆分：扌隹 [fv]	㨤
拆分：扌納 [fn]	㨥
拆分：扌又 [fy]	㨦
拆分：扌畚 [fb]	㨧
拆分：扌留 [fl]	㨨
拆分：扌庭 [ft]	㨩
拆分：扌晃 [fh]	㨪
拆分：扌监 [fj]	㨫
拆分：扌袁 [fy]	㨬
拆分：扌扈 [fh]	㨭
拆分：扌兜 [fd]	㨮
拆分：扌郭 [fg]	㨯
拆分：扌衮 [fg]	㨰
拆分：扌言 [fy]	㨱
拆分：扌宋 [fs]	㨲
拆分：扌寄 [fj]	㨳
拆分：扌乾 [fq]	㨴
拆分：扌剪 [fj]	㨵
拆分：扌鳥 [fn]	㨶
拆分：扌堇 [fj]	㨷
拆分：扌密 [fm]	㨸
拆分：扌彗 [fh]	㨹
拆分：扌入 [fr]	㨺
拆分：手斬 [uv]	㨻
拆分：手略 [ul]	㨼
拆分：扌副 [ff]	㨽
拆分：扌羕 [fy]	㨾
拆分：扌處 [fi]	㨿
拆分：扌匆 [fc]	㩀
拆分：扌隺 [fh]	㩁
拆分：扌斗 [fd]	㩂
